text,actual,predicted,probability,label
"The police in Mt. Sterling, Kentucky were... decidedly unhelpful. The local citizenry sympathized with my plight in that respect. I had to hitch-hike back to Lexington. The most I've been able to replace ID-wise so far has been my ATM card and my pre-paid card -- I opened up an account at a national chain bank while I was here the past two weeks and my banker here obviously knows who I am -- and the temp labor place I had been working at had a copy of my ID, so I was able to get that information from them as well.",1,0,0.36504761904761907,FN
"He wanted me to say once again that of course I was in the wrong and I need to change my selfish ways and give him the kind of love he deserves. When I stated I need space, he then demanded I be out by midnight tonight. I pointed out I would simply ask our roommate to spend 1 more night in the house as a guest. So he conceded to letting me sleep there tonight. This break up and crossroads is yet another opportunity for me to prioritize my needs in a creative and synergistic way.",1,0,0.340202380952381,FN
"Almost too well. She extends our date twice, buys us a drink each, starts a make out session which lasts for 2 hours, calls me hot, and although neither of us had a house free she gave me oral too. Although she said she had a great time - which I replied to - I then waited to respond to her next message, and I don't know if that killed any momentum because I was already very delayed when we first got talking of course. Anyway, despite our great date and a second one lined up when I asked her out a day later, she ended up cancelling on me, and then told me a week later that she got more serious with another guy - which to me only translated as him being hot and me being ugly. They broke things off a week later, and she did ask me out again, but at one stage I annoyed her with a jokey message.",1,0,0.4091964285714285,FN
"Has anyone dealt with urinary retention as a side effect of lexapro? I've been taking lexapro for like 2 weeks or so, and in the past week it has become very difficult to pee, even at home (it sometimes takes a lot of pushing, and my bladder never feels like it's truly empty.). And the more I have to go, the harder it is, so I try to go often, like every 30 mintues or hour or so (even at night). I can barely eat or drink anything anymore. I did some research and it appears that urinary retention could be a side affect of lexapro.",1,0,0.41698611111111106,FN
"Before I could tell Erik we should go outside he threw me back onto the bed saying, ""yeah, you will make a deal. You will show me everything that you do behind my back, you fucking liar. You are always on your phone talking to guys and now you will show me everything!"" Erik had me on my bed laying pushed against the wall while he laid down on me with his full body weight. His body is so big and heavy it was making it harder and harder for me to breath as he was crushing me.",1,0,0.4296666666666667,FN
"Then I came home.      My Mom pointed it out first, I went from being the class clown and the life of the party, to being the quiet guy who stood in the corner of the room. I went from a musician and avid gamer, to having no interest in any of it, and no replacement hobby. The things I had the most passion for in life were gone. It was like someone removed one of my five senses and my soul at the same time.",1,0,0.29478571428571426,FN
"That's it. My mom made me delete it and said ""that's what is wrong with your generation, you act too grown."" Nothing about my picture was ""grown"" I was actually wearing a long white t shirt and boyfriend jeans. Even when we go to the beach with my siblings, me and my sister were wearing the exact same bikini and she said something to me about ""needing to sit my fast tailed butt down."" Mind you, my sister is two years younger than me and the bikinis weren't even provocative in a bikini sense.",1,0,0.39220238095238097,FN
"I'm currently between jobs and looking to make money in any way I can, so I was wondering if anyone would be interested in buying a cross stitch commission from me. I can do any type of pattern or design, in various sizes. Here are some examples of things I've made: <url> I would really appreciate any help I can get! Times are rough and my mental health is not great right now, so it would be nice to have something to work on that would also help me pay my bills and medical expenses!",1,0,0.25729761904761905,FN
"It’s getting up above 100 here, and I’d like to have something I can easily carry in my car to give out since I’m working deliveries. Unfortunately I’ve been without a steady job for 6 months so I can’t do to much, but I was thinking about buying a bunch of plastic water bottles, freezing them, and carrying them in a cooler in my car to give out when I’m at lights. Would this be helpful? What other small or inexpensive things would help make the summer a bit more bearable?",1,0,0.4004940476190476,FN
"Now he is enraged because I said months ago that maybe internet access was not a bad idea, that there was some stuff there that may connect him more to others. He had been asking for months how to access the internet for free, and I just did not know what to say, he mentioned it so much, besides he would have to get internet access from a company if he wanted to use the internet reliably. So he did that at some point, and is now having issues. It just looks like an older man who is having difficulty navigating the internet and who finds Apple care unhelpful. But he is phoning me today yelling and accusing me of paranoid stuff and hanging up.",1,0,0.2620416666666667,FN
"She told me that things had to go back to where we were before we ever went to the concert. I agreed, and stopped talking to her aside from professional responsibilities. NOW... in that period of time since two MAJOR things have happened. 1. Her mother was diagnosed with cancer.",1,0,0.2786309523809524,FN
I feel like im receiving mixed signals from her as we usually talk for most of the day either thru texting or at work. (she chooses to sit by me everyday)   ---   **tl;dr**: How do I take things slow and not become clingy after not dating for a really long time? I really enjoyed getting to know her but I feel like im falling way too fast for this girl and Im not sure she feels the same way I do.,1,0,0.3249404761904761,FN
"Now six weeks ago, I was asked to contribute $250 to the household, great no issue. Now suddenly (this happened in the space of an hour yesterday and was never discussed with me), my rent has doubled to $500, and my boyfriends tripled to $700. As a full time student who pays every single bill herself, including school, I cannot pay this amount. Now here’s some backstory: the house was going to be foreclosed on due to no one paying the mortgage, bfs mom and sister insist they want to stay and keep this huge, 6 bedroom house. They refuse to rent out the extra rooms to help.",1,0,0.3051428571428571,FN
"And yes, I would love help. I live in <location>. I can't use a phone as we only have one; house phone, that mom is always sitting near. I would love to be given links to sites that can help my brother and I to places that will take us. Because today was the last straw with my 'mother' hitting my brother with a tennis racket as my 'dad' restrained him down on the couch.",1,0,0.36508928571428567,FN
"Hello, This is my first time posting here and I'm not entirely sure what the protocol is or what the requirements are. That said, rent is due in three weeks and I'm worried that I won't make it in time. I'm here exploring options and seeing what assistance, if any, I could get to make it to next month. I share an apartment with my brother in Denver, who has a somewhat stable job and is able to pay his rent.",1,0,0.43883333333333335,FN
I explained my situation without giving him how long I’ve been homeless but said I’d be back on my feet by December. That was at the beginning of the conversation. Then at the end of the conversation he said I should be good there for a week. What the heck! Now I have to find new places to park in hopes I don’t get bothered at night.,1,0,0.4352500000000001,FN
"Moving on to the following workday, I went over to the shop to collect the dishes from the stuff I brought to the party. I had a beer and chilled with the gang. Then the owner of the shop busts out with his wife's concerns that he and I were ""after each other"". My not-so-savvy self didn't know what he meant at first. But as the realization washed over me that I was being suspected of an affair I was mortified horrified and shamified.",1,0,0.4222916666666666,FN
"She also wasn’t wearing her ring. She was also extremely upset when I grabbed her phone, which is locked with a password I don’t know, to hand it to her. Well on Monday we barely spoke during the day, and she was very quiet at dinner. Dreading what might come but knowing I had to ask I asked her if everything was ok. She said no, that she couldn’t marry me, couldn’t have kids as she would be a bad mother, and couldn’t see us being together anymore.",1,0,0.4266190476190477,FN
"We had 2 classes together, so we spent a few hours together most days working through problem sets. This next semester, I won't even have that. I'll probably be in more isolation this time around. Any tips are appreciated. Thanks!",1,0,0.3704166666666666,FN
"She ended up relapsing on drugs and said that she hasn't had any feelings for me in months. She stopped taking her bipolar medications about a week before and was absolutely manic. Ended up she had not only relapsed but was cheating on me with a dealer, an ex, and was looking for couples on some hookup site(all things she's claimed on facebook) even though we were having sex at least daily. Then near the end of her manic state she decided she was moving to Colorado at the drop of a dime and left. This leaves me in Georgia staying at her mothers house without a vehicle.",1,0,0.38881944444444444,FN
"It seems that as of now our best option is just to babysit her for the weekend until she can see a doctor on Monday. Which really, really fucks my weekend, but so be it. FINAL UPDATE: Thanks for all the support, friends. We did end up calling emergency responders for her about twelve hours after my last edit. She was going full-bore psychotic, and it was getting to the point where I was no longer sure she wouldn't attempt to harm herself.",1,0,0.2740714285714286,FN
"I broke of my longest relationship so far with my Gf of 6 months because I thought I didn't love her, afterwards I felt fine for the first week and then I started to miss her. I had a one night stand with a random girl that I met through snapchat, felt disgusted afterwards at myself since it was only two weeks after the break-up. We attend the same school and I feel like someone is crushing my heart whenever I see her or if I see that she's sent me a text. She was one of my best friends and now when i talk to her on social media i feel like I am talking to a stranger. We are meeting tomorrow after school and she's coming over to get her stuff.",1,0,0.4390952380952382,FN
"It is intimately tied up in mine. She has a couple of friends but really doesn’t see them often, as previously stated she doesn’t have her own goals.. it just feels like she lives whichever life I live. She doesn’t do things on her own. She doesn’t have any sports teams she plays on.. no clubs.. doesn’t go out with her friends (well, very rarely). The more I think about this, the more troubled I become.",1,0,0.37826190476190474,FN
The last straw that broke me completely happened the night before/early morning of St Patty's day 2013 (age 21). I went to a bar for a pre-party. I had one shot with the bartender and some other guys there. I then started drinking water and talking to the guy sitting next to me. He said he was a pilot.,1,0,0.34450000000000003,FN
"As is usually the case with the stories I read here, I've hit the bottom. I'm at the very last point before pitching a tent in a field, and begging at the street corner for pennies. A lot has happened in the last month, so I'll try to pare it down to make sense and then get to the numbers drama. When I say a lot, I mean we have been homeless since Feb 17th and making it work. There's me (27), my wife (23), and our son (10m).",1,0,0.3575,FN
"I would like to reach out for help from someone supportive before an episode becomes too intense to ask for help. I would like to acknowledge the symptoms and temporary nature of the situation as to let it pass without causing additional damage. I finally realized that fighting my traumatic episodes is like a rigid oak tree trying to resist a flooding dam. Do any of you guys have ways to be ""okay"" with an episode? If so, how do you find the flexibility and patience to not fight against it?",1,0,0.43433333333333346,FN
"My mother is a narcissist. A few months ago I pulled up my credit report and discovered that my mother had stolen my identity in 2015– but had just paid off the balance. I asked her about it and she admitted it without apologizing. A few weeks ago I was thinking about what I owe in student loans, and it wasn’t adding up. I asked her if she ever pulled out extra money for herself, and she snapped.",1,0,0.417547619047619,FN
"I'm stuck on my couch alone with bronchitis.  I'm passing out to sleep every hour, and obviously not safe to cook or drive to one of the few open places on this holiday. Due to my bad financial situation after a job was delayed by a month, and another large medical bill, ordering out isn't possible. If anyone in the San Bernardino area would be willing to drop by some soup or hot easy to eat food, I'd appreciate it so much. Thank you and Happy Christmas Eve.",1,0,0.4132976190476191,FN
"It’s so hard to explain. &nbsp; **PROBLEMS WITH BOB**: Balthazar’s fiance. I don’t know why, but he does not like me either. We used to be close but B got jealous so we stopped talking as much.",1,0,0.42325,FN
"So I met this girl last year, in November. Although we only dated officially for around a month, the feelings became very intense. Around the week before Christmas, she confessed she had been cheating on me with someone. At the time she was very distant towards me, and of course the cheating explained that. She and I met up last week to talk, I thought I would get closure but all I felt afterwards was a deep sense of regret.",1,0,0.37266666666666665,FN
"My mom has a degenerative neurological disease, and can barely walk, bathe, or feed herself anymore. Her most problematic symptom is a movement disorder, but she also has declining mental capacity (but not much confusion/forgetfulness). She either needs to receive in home care or be moved to an assisted living facility as soon as possible. My brother and I made an appointment to have her assessed by the regional health authority at the end of the month. She moved back to her hometown a few years ago, and my brother and I can’t take time off work or afford travel, so we can’t be there.",1,0,0.4259166666666666,FN
"Also I can't think about both of them without getting angry and jealous again, but to talk to each of them is actually helping me a lot.   ---   **tl;dr**: Three Friends where one M was fallen in Love with F and F was fallen in Love with the other M, which isn't feeling anything for her as an Girlfriend. We could be the best template for an 2,5h long Teenager-Drama.  ---",1,0,0.3374166666666667,FN
